place_id,name,rating,address
ChIJd49lLtuioRQR8usZ3aYOoac,Yupin House,4.4,"Michail Koraka 4, Athina"
ChIJbwhygMOioRQR4onw4YV6k5M,Iapetos Village,5.0,"Simis, Σύμη"
ChIJg_tvKtCioRQRsIRVq3WNVq8,Sappho house,4.6,"Ἀcharnon 171, Athina"
ChIJUwEFLsWioRQRsEwiw-hqu3w,The Aphrodite House,4.7,"Pafou 11, Athina"
ChIJI0f0dNqioRQRm1fHfYRLKBc,Arcadia Downtown Apartment,3.5,"Paraskevopoulou 52, Athina"
ChIJe_Hv-c-ioRQRiV_s4gTDHto,Roy Hotel,3.4,"Rodou 15, Athina"
ChIJTRjNncOioRQRaBmhzgRmsyU,ArEl accommodation,4.3,"Epidamnou 10, Athina"
ChIJoQnw66WjoRQRVSYpzVGv9Js,Ahamed Greek S M P Co,4.2,"Kontoglou 3, Athina"
ChIJ6_CAwRWjoRQRVdZue6WEL5k,Grekus Apartaments,,"Zervoudaki 44, Athina"
ChIJm7muv9yjoRQRULKw82Gr7Fo,Artemis House2Heal Athens,5.0,"Tertipi 28, Athina"
ChIJuSEsBNeioRQRmAckVaQXYYg,Pension Maria,5.0,"Aktiou 30, Athina"
ChIJkyzS5uajoRQR-4903A4FHbA,Spacious Apartment Athens center Sepolia area between 2 metro and train stations,5.0,"area, Amvrakias 14, Athina"
ChIJbZC6DQCjoRQRMU5htBWRONQ,Urban 2-Bedroom near Metro,5.0,"Krokida 24, Athina"
ChIJzdLK5w6joRQRPIsx-Z43xh8,Athens Hawks Urban,4.4,"Serinou 5, Athina"
ChIJl9KynZ-joRQRhAB0XXZqJHE,UooHome9,,"Sofianopoulou 31, Athina"
ChIJoR8_q7ejoRQRlUzjyUck04c,The H Experience Boutique Apartments Athens,4.9,"Leoforos Ionias 52, Athina"
ChIJs4ku1dyioRQRt2mnoFxOwWI,LUX&EASY Athens Downtown Apartments,4.6,"Kritovoulidou 11, Athina"
ChIJ95esGd6ioRQR61OUEgzhc9s,Lak Nirvanas Homes,4.6,"Anthipolochagou Stamati Regkoukou 7, Athina"
ChIJ99MYbtSjoRQRo9x1edRu5wQ,Ionias Cozy Studio,,"Leoforos Ionias 140, Athina"
ChIJfYMhatCioRQRhTLh0onJ4zg,Actor's house,4.6,"Panathinaion 5, Athina"
ChIJa5N911KjoRQR0rQVtXI_6S8,MA MAISON PENTHOUSE N°1,5.0,"Gerasimou Livada 15, Athina"
